"","Date UTC","Location","Magnitude","Depth","Latitude","Longitude"
"1",2015-11-03,"Lago d'Iseo I",1.8,7.8,45.85,10.09
"2",2015-11-03,"Lago d'Iseo I",1.6,8.8,45.85,10.11
"3",2015-11-01,"Lago di Garda I",3,8.6,45.9,10.78
"4",2015-10-27,"Milano I",2.1,44.7,45.46,9.54
"5",2015-10-27,"Lago di Garda I",3.1,9.7,45.89,10.8
"6",2015-10-28,"Lago di Garda I",2.2,10.1,45.9,10.78
"7",2015-10-16,"Verona",2,8.9,45.69,10.74
"8",2015-09-28,"Lago d'Iseo I",2.1,6.3,45.75,10.08
"9",2015-09-09,"Lago di Garda I",2,5,45.75,10.56
"10",2015-08-27,"Verona",2.2,5.1,45.76,10.86
"11",2015-08-02,"Trento",2.2,8.4,45.9,10.78
"12",2015-08-01,"Lago di Garda I",3.7,6.5,45.9,10.77
"13",2014-09-05,"Bormio I",2,12,46.41,10.58
"14",2014-08-28,"VERONA",2.6,9.2,45.65,10.71
"15",2014-07-30,"Lago di Garda I",2.2,5.8,45.64,10.6
"16",2014-02-14,"Lago di Garda I",2.1,9,45.67,10.81
"17",2014-04-26,"VERONA",2.1,3.4,45.69,10.75
"18",2014-06-26,"VERONA",2.9,10.2,45.44,10.99
"19",2015-02-09,"Northern Italy",2,14.4,46.78,10.95
"20",2015-01-08,"Lago di Garda I",2.2,3.7,45.87,10.79
"21",2014-12-13,"Courmayeur I",2.1,10,45.62,7
"22",2015-04-08,"Verona",2.2,10,45.64,10.68
"23",2015-03-27,"Lago di Garda I",2.1,6.4,45.54,10.58
"24",2015-04-27,"Verona",2.4,5,45.63,10.86
"25",2014-11-28,"Aosta I",3,11.2,45.53,7.61
"26",2015-03-03,"Courmayeur I",2.1,9.8,45.62,6.97
"27",2015-02-27,"Monte Adamello I",2.3,7.2,45.92,10.65
"28",2015-03-08,"Monte Adamello I",2.8,8.9,45.92,10.65
"29",2016-04-15,"Lago di Garda I",2.5,11.1,45.84,11.02
"30",2016-05-04,"Verona",2.5,10.1,45.53,10.97
"31",2015-11-15,"Lago d'Iseo I",2.1,9.7,45.7,9.91
"32",2015-11-08,"Lago di Garda I",2,10.6,45.83,11.01
"33",2015-12-30,"Lago d'Iseo I",1.8,4.1,45.65,10.24
"34",2015-11-30,"Bergamo I",2.1,10.3,45.73,9.78
"35",2016-09-11,"Lago di Garda I",2.9,14.3,45.83,11.03
"36",2021-09-23,"Lago di Garda I",2.3,11,45.76,11.03
"37",2022-01-18,"Lago d'Iseo I",2.6,5,45.66,10
"38",2021-11-17,"Lago di Garda I",3,8.8,45.63,10.66
"39",2021-06-07,"Lago di Garda I",2.3,11.2,45.93,11.1
"40",2021-01-17,"Milano I",2.6,47.7,45.53,9.39
"41",2021-02-03,"2 km SE Muscoline (BS)",2.1,10,45.55,10.47
"42",2020-12-17,"Milano I",3.9,56.2,45.49,9.13
"43",2020-10-26,"Lago d'Iseo I",2.1,9.4,45.68,9.98
"44",2020-11-22,"1 km SW Dolcè (VR)",2,13.3,45.6,10.84
"45",2020-10-09,"Bergamo I",2.4,10.2,45.76,9.7
"46",2021-03-16,"3 km SW Vallarsa (TN)",2,10.1,45.77,11.09
"47",2020-08-10,"Merano I",2,10.6,46.42,10.87
"48",2021-02-22,"Lago di Garda I",3.5,12.2,45.78,10.98
"49",2021-02-22,"Lago di Garda I",2.3,12.6,45.78,10.99
"50",2021-02-22,"Lago di Garda I",2.3,11.1,45.79,10.99
"51",2021-02-16,"Lago d'Iseo I",2.3,6.7,45.69,9.98
"52",2020-02-20,"Confine Italia-Francia (FRANCIA)",2.3,10.7,45.4,6.85
"53",2020-01-03,"2 km N Gargnano (BS)",2,9.9,45.71,10.65
"54",2019-12-24,"Lago di Garda I",2.4,10.5,45.7,10.62
"55",2020-05-17,"Merano I",2.5,14.5,46.47,10.98
"56",2019-08-08,"4 km W Vallarsa (TN)",3.4,11.7,45.78,11.07
"57",2019-08-01,"3 km W Pozzolengo (BS)",2.3,36.8,45.41,10.59
"58",2018-04-17,"Lago di Garda I",2.8,8.1,45.85,10.56
"59",2018-03-13,"Mont-Cenis F",2,13.4,45.4,6.55
"60",2018-02-15,"Mont-Cenis F",2,16,45.41,6.38
"61",2018-02-04,"Lago di Garda I",2.7,10.6,45.7,10.59
"62",2017-12-04,"France",2.1,10,45.43,6.28
"63",2017-12-01,"Mont-Cenis F",2,10,45.41,6.33
"64",2017-12-26,"Lago d'Iseo I",2.3,4.4,45.59,10.18
"65",2017-10-27,"France",2,3.4,45.41,6.49
"66",2017-10-27,"Mont-Cenis F",3.3,5.9,45.43,6.46
"67",2017-10-27,"Mont-Cenis F",2.6,14.5,45.42,6.33
"68",2017-10-25,"Mont-Cenis F",3.2,1.4,45.42,6.47
"69",2017-10-18,"Mont-Cenis F",2.7,10,45.41,6.32
"70",2017-10-18,"Mont-Cenis F",2.6,10,45.42,6.39
"71",2017-10-17,"France",2.1,10,45.42,6.33
"72",2017-10-17,"Mont-Cenis F",2.5,10,45.41,6.31
"73",2017-11-17,"Mont-Cenis F",2.4,10,45.41,6.31
"74",2017-11-12,"1 km S Brentonico (TN)",2,13.3,45.81,10.95
"75",2017-10-31,"Lago di Garda I",3.1,10.8,45.84,10.91
"76",2017-10-29,"France",2,11.5,45.45,6.26
"77",2018-05-21,"Lago d'Iseo I",2.9,7.5,45.58,10.19
"78",2019-02-26,"Lago di Garda I",2.1,9.6,45.68,10.53
"79",2018-12-13,"Lago di Garda I",2.2,11.7,45.94,11.06
"80",2018-12-09,"Bergamo I",2.5,16.5,45.47,9.89
"81",2018-12-09,"Lago d'Iseo I",2.6,10.3,45.52,9.9
"82",2019-06-13,"2 km N Brescia (BS)",2.5,37.4,45.56,10.22
"83",2019-05-20,"Navara I",2.5,8.5,45.45,8.87
"84",2018-10-13,"Mont-Cenis F",2.1,13.6,45.44,6.38
"85",2018-10-01,"Mont-Cenis F",2.1,10,45.41,6.43
"86",2018-10-01,"Mont-Cenis F",2,10,45.4,6.42
"87",2017-06-04,"Lago di Garda I",3.6,10.1,45.65,10.69
"88",2017-06-14,"3 km E Negrar (VR)",2.1,10.2,45.53,10.97
"89",2017-05-20,"Monte Adamello I",2.4,12.9,45.97,10.91
"90",2017-04-28,"Como I",2.4,32.9,45.71,9.19
"91",2017-09-03,"5 km N Gargnano (BS)",2.3,5,45.73,10.66
"92",2017-03-13,"Trento",1.4,9.1,45.75,11.04
"93",2017-03-22,"Brescia",1.1,6.1,45.64,10.4
"94",2017-03-21,"Brescia",1.5,9.8,45.54,10.32
"95",2017-03-19,"Trento",1,11.4,45.86,10.58
"96",2017-08-03,"France",2,10,45.44,6.31
"97",2017-08-02,"Lago d'Iseo I",2,7.3,45.58,10.14
"98",2017-07-31,"Mont-Cenis F",2,12.4,45.42,6.39
"99",2023-08-13,"V3 Monte Bianco (ITALIA, FRANCIA, SVIZZERA)",2.4,11.8,45.98,6.71
"100",2022-11-28,"Lago d'Iseo I",2.2,9.7,45.5,10.09
"101",2022-09-26,"Lago d'Iseo I",2,0.6,45.95,10.04
"102",2023-08-06,"Lago di Garda I",2,11.5,45.82,11.02
"103",2023-07-11,"Monte Adamello I",2.4,7.7,46.03,10.72
"104",2023-05-12,"3 km S Sant'Anna d'Alfaedo (VR)",2.6,9.9,45.6,10.95
